channelTitle,video_count,avg_views,avg_likes,avg_comments,avg_engagement,avg_days_to_trend
Mv Ryhan,12,99803271.5,1779100.5,6837.333333333333,0.007214011764767952,9.5
MrBeast,283,81065561.40989399,3827609.3250883394,108797.27915194347,0.020656604469817447,6.448763250883392
Thanh Thảo Official,9,78114675.77777778,2347765.4444444445,4859.666666666667,0.012137265597980286,15.0
ISRO Official,6,76915958.66666667,3065142.8333333335,111432.0,0.016813248833567874,4.333333333333333
Fortnite Fun TV,10,64801874.0,2340227.9,865.3,0.015494811502591316,5.5
Dan Rhodes,20,61983534.8,2001125.8,14728.5,0.015014504291715306,6.0
The Pixel Kingdom,8,58784286.625,2024553.25,60621.75,0.014926649906276606,4.5
FFUNTV,8,55164085.875,2153923.75,805.25,0.02119255165938255,5.5
5-Minute Crafts FAMILY,4,51899921.0,1474885.5,7597.5,0.012146791958287315,6.5
Grupo Frontera,8,51150411.625,1402441.75,39516.375,0.012343357809739244,6.5
Bizarrap,63,49100717.28571428,3420686.3333333335,197607.3492063492,0.035814555822764466,4.936507936507937
Richa sarkar,2,48152190.0,1145619.5,48685.5,0.010123414371735794,3.5
Shakira,8,45509945.5,2883809.125,117980.375,0.03129779320206401,5.25
YouTube,15,45002061.733333334,0.0,0.3333333333333333,3.85913757378121e-09,5.333333333333333
Artist Shikha Sharma,4,38611937.5,1206694.5,2948.25,0.012567737680034942,6.5
Paulo Londra,6,38298791.0,4378046.833333333,262573.3333333333,0.05176120472074571,4.5
Bradesco Seguros,6,37647981.833333336,1774.6666666666667,262.6666666666667,2.4437289830738145e-05,6.0
Rockstar Games,42,33223868.54761905,2494025.5476190476,199859.2619047619,0.020619317076956918,5.0
DaFuq!?Boom!,309,31705388.365695793,1181871.3754045307,103234.70550161813,0.017325061328103217,5.618122977346278
BIGBANG,8,30390318.375,2516685.125,231703.5,0.04001465480038319,4.75
Tech Rander,16,29001206.8125,390765.0,3875.8125,0.005546184620036143,15.5
Big Hit Labels,119,28924717.647058822,3162354.74789916,699605.5210084034,0.08570428653646305,3.7142857142857144
BamBam SPACE,11,28613270.90909091,625496.4545454546,69313.09090909091,0.014158195114925444,5.0
Jason Aldean,7,28528514.14285714,1271235.2857142857,199543.7142857143,0.02202817316327544,30.0
Bella Poarch,25,28253779.44,2208116.8,135041.2,0.04052848018612517,4.8
Google,12,27852470.833333332,123474.91666666667,8311.25,0.0034701324544664258,4.166666666666667
Charlie Puth,14,27624785.92857143,2759256.3571428573,181071.85714285713,0.04454031329527754,4.428571428571429
Jake Fellman,9,27624203.666666668,949717.5555555555,4950.333333333333,0.013880956771572478,5.0
officialpsy,36,27510667.5,2034890.0555555555,102287.16666666667,0.03727037098835004,4.444444444444445
Brave Entertainment,6,27403131.333333332,443353.5,61617.5,0.007828775145004524,6.666666666666667
KarolGVEVO,73,27329921.21917808,1224142.9315068494,53684.602739726026,0.02197519878093354,4.821917808219178
Vídeos do next,9,26493518.555555556,259.8888888888889,59.77777777777778,7.713656438043533e-06,5.0
Maluma,6,26063139.333333332,1350613.1666666667,62342.5,0.024876908750157477,5.166666666666667
BLACKPINK,480,25582549.2,2413286.7666666666,324757.23541666666,0.05902768391768685,4.54375
VisaBR,7,24674119.42857143,478.7142857142857,0.0,5.959536639865218e-06,6.0
Anuel AA,15,23916412.266666666,633971.8,45322.0,0.013408491771820803,5.133333333333334
MrBeast 2,10,23764709.1,1121841.4,12415.4,0.020012536225661712,5.5
MrBeast Gaming,10,22963070.6,692077.1,16044.2,0.01282226411309231,6.5
THEBLACKLABEL,76,22888090.38157895,282829.6052631579,64235.63157894737,0.00558978221202838,4.815789473684211
bennyblancoVEVO,9,22165430.666666668,2327917.4444444445,163344.22222222222,0.04789966256076702,5.111111111111111
Boston Dynamics,9,21182522.333333332,807514.3333333334,120554.33333333333,0.018785169108759575,6.666666666666667
Daft Punk,9,21116855.888888888,1352407.111111111,159499.66666666666,0.030178870108352265,5.333333333333333
TIKTOMIKI,8,20296765.375,494516.0,1033.375,0.010143216046055809,4.5
LilNasXVEVO,83,19258966.012048192,969304.2409638554,115236.68674698795,0.02993896561857534,5.421686746987952
BlackEyedPeasVEVO,30,19191039.4,447255.4,34979.46666666667,0.01573384600816684,5.966666666666667
