channelTitle,video_category_name,video_count,avg_views,avg_engagement
,,62092,0.0,0.0
 'Be The One',,7,0.0,0.0
 2024.,,8,0.0,0.0
 Agnes Nunes,,7,0.0,0.0
 Aqui É Nordeste ,People & Blogs,18,225942.16666666666,0.008664419439464194
 Aqui É Nordeste Com LeyBrito,People & Blogs,6,66076.5,0.01169591626420669
 Atividade Paranormal,,49,0.0,0.0
 Bebê Dragão e muito mais. Destrua as torres do rei e das princesas rivais para derrotar seu oponente e ganhar troféus,,11,0.0,0.0
 Bruno Mars,,9,0.0,0.0
 Cabrini,,4,0.0,0.0
 Dapena (Zé Américo),,9,0.0,0.0
 Diogo PinaffiDireção de Produção: Igor GramaniProdutores: Guilherme Alencar,,7,0.0,0.0
 Douglas Mattos,,8,0.0,0.0
 EIGHTH GRADE,,43,0.0,0.0
 Elektra,,9,0.0,0.0
 Estefania ChavesDueto : Felipe BarrosViolão : Felipe BarrosProdução musical,,10,0.0,0.0
" Falcão e Murilo Couto.Agradecimento especial: ElitecamMAIS UM DOC - WHINDERSSON NUNES (documentário completo).""",,5,0.0,0.0
 Família Pontes 🦋,Entertainment,8,331608.5,0.010214148069591941
 Família Pontes 🦋,People & Blogs,8,128312.25,0.012800919494686012
 Gaby AbeckJeferson vicenti,,8,0.0,0.0
 Guilherme CoelhoIluminação e Fotos Making Of - Filipe MirandaAssistente de câmera: Vitor Barbosa,,15,0.0,0.0
 Guilherme Ferraz,,8,0.0,0.0
 Henry Danger e muito mais!,,12,0.0,0.0
 Jacob Elordi,,31,0.0,0.0
 Joao,,29,0.0,0.0
 Jorge Hissa,,11,0.0,0.0
 Kathe Portillo,,10,0.0,0.0
 Kevin Turen,,31,0.0,0.0
 Lena PelosiA&R: André Mattos,,6,0.0,0.0
" Lipe Dal-Còl e Jorge Hissa""",,5,0.0,0.0
 Lives e Coletivas. ,,6,0.0,0.0
 Lí Araújo ,People & Blogs,15,96298.2,0.054012678599753
 MLB,,7,0.0,0.0
 MTV Floribama Shore,,44,0.0,0.0
 Mace Coronel,,14,0.0,0.0
 Marcela Lopes,,7,0.0,0.0
 Marcelo Cheba (Studio Bar),,9,0.0,0.0
 Marcos Rossi,,6,0.0,0.0
" Mariana JoahStyling: Elegannex Taylors UCLÃ online: https://twitter.com/oficialucla​https://www.instagram.com/oficialucla​https://www.facebook.com/oficialucla​https://www.oficialucla.com​UCLÃ (C) 2022 Todos os direitos reservados""",,7,0.0,0.0
 Marta Adorno,Film & Animation,18,108152.77777777778,0.03920484163411028
 Mun-Ra,,5,0.0,0.0
 Na NaEntão pode pá! Ra-tá-tá-tá Podem tentar mas não vão me pegar Terror nenhum! Dum dum dum dum Com meu poder derrubei um por um Vivem fazendo de tudo pra te atingir Eles agem como animais Curiosidade matou o gatinho Mas essa gatona tá viva demais Daqui do alto não tô te escutando Cê vai falando,,8,0.0,0.0
 Novenas,,45,0.0,0.0
" Pra sempre essa saudade vou sentir Mas vou seguirProdução Musical: Na House por Eduardo PepatoDireção de Vídeo e Cenário: UnicFilm por Fernando Trevisan Catatau""",,17,0.0,0.0
 Pâmela Tanasovichi,,8,0.0,0.0
 Renata Canossa,,5,0.0,0.0
 Riyad Mahrez,,15,0.0,0.0
 Ronnie Von,,4,0.0,0.0
" Sally Hawkins""",,7,0.0,0.0
" Sem Goma Xantana (Curso Online) → https://bit.ly/2YkxtuE""",,7,0.0,0.0
 Stanley Simons,,14,0.0,0.0
 Sítio do Vovô Gaio,People & Blogs,7,334910.4285714286,0.01563505117467948
 The Tribune strives to be “The Voice of the Game.”,,8,0.0,0.0
 a Madonna e a Lady GagaTodos sabem meu nomeLiga o flash,,6,0.0,0.0
 a gente também faz vídeo sobre futebol em geral,,12,0.0,0.0
 a parlamentar foi suspensa do PSD,,4,0.0,0.0
 and Wilmer Valderrama will appear as special guests in That ‘90s Show.,,14,0.0,0.0
 and cunning villains at both ends of the evolutionary spectrum.,,9,0.0,0.0
 and epic adventure. Dinosaurs live again,,9,0.0,0.0
 and videos from beauty experts. ,,4,0.0,0.0
 anytime,,14,0.0,0.0
 anywhere,,7,0.0,0.0
 ao vivo aqui no canal do Meu Timão. ,,8,0.0,0.0
 bbb,,5,0.0,0.0
 behind-the-scenes footage,,15,0.0,0.0
 can I ooo ooo ooo (Oooo’s)Slumber party (Oooo’s)Slumber party(Oooo’s)Slumber party(Oooo’s)Slumber partyIt’s getting hot in hereI’m the nelly in the party with someRocks for earsI’m a slave for you baby,,8,0.0,0.0
 cara,,4,0.0,0.0
 celebrity style,,5,0.0,0.0
 certamente,,10,0.0,0.0
 coisa boa esse calor Sem tempo pra pensar no depois Tudo acaba nesse universo de nós dois Rota interestelar me descubro quando viajo dentro do céu da sua boca Pode me abraçar sem medoQue eu sou toda tua lalalalala,,7,0.0,0.0
 comparando o consumo de energia com a função Smartsense/Econavi ativada e desativada.Maquina de LavarDe acordo com eficiência de lavagem em água fria,,8,0.0,0.0
 conquistei hoje mudei de vida Um salve Zaki Narchi Ryan SP,,2,0.0,0.0
 criticas,,62,0.0,0.0
 currently available on PC,,6,0.0,0.0
 danceDance the night awayI’ll still keep the party running not one hair out of placeLately I’ve beenMoving close to the edgeStill be looking my bestI stay on the beatYou can count on meI ain’t missing no steps,,7,0.0,0.0
 danceDance the night awayI’ll still keep the party running not one hair out of placeWhen my heart breaksYou’ll never see it,,7,0.0,0.0
 de novoSe era pra me machucarPorque deixou eu me apaixonarMe diz como é que fazMe diz como é que fazSe ontem a gente fez amorE hoje não me quer mais,,10,0.0,0.0
 direto da estrada! ,,23,0.0,0.0
 e questiona: A senhora tem consciência que deve perder a sua imunidade parlamentar,,4,0.0,0.0
 em praticamente qualquer tela com conexão à internet. Assinantes podem assistir,,27,0.0,0.0
 eu e você?Te amo,,5,0.0,0.0
 eu estava sedada.,,4,0.0,0.0
 eu seiTô sem motivos pra sonhar outra vezNão é que não dei bola pra nós doisEu já sofri demais na vida a doisFalou em casamento muito cedoEu juro pra você deu medoAgora senta aqui pra conversarTe amo,,4,0.0,0.0
 eu sou o sacrifício Tu tens o fogo,,8,0.0,0.0
 explicou Duilio.,,7,0.0,0.0
 faxinas ,,24,0.0,0.0
 fornecer água limpa,,6,0.0,0.0
 his smart,,14,0.0,0.0
 indie,,9,0.0,0.0
" inimigos e investigar assassinatos.""",,23,0.0,0.0
 jogo aberto ba 21/08/2023,,7,0.0,0.0
 jogos a cada dois dias e viagens,,7,0.0,0.0
" levando acalanto e esperança aoscorações aflitos; e manifestar o reino de Deus por onde passar.Seu último lançamento foi o single “A Bênção” que contou com a participação de NíveaSoares. Ouça e seja grandemente abençoado(a)!___REDES SOCIAIS OFICIAIS:- Facebook:  https://onilnk.com/r/FacebookGabrielGuedes- Instagram: https://onilnk.com/r/InstagramGabrielGuedes- Twitter: https://onilnk.com/r/TwitterGabrielGuedes___#GabrielGuedes #TudoéPossível #NeverLost #SomQueAlimenta""",,5,0.0,0.0
 leão,,8,0.0,0.0
 lá no fundo,,6,0.0,0.0
 mas pelo próprio clube.Foto da thumb: 📸 Divulgação/CRF/Gilvan de Souza Leia o Blog do Mauro Cezar Pereira no UOL Esporte:O absurdo de Corinthians e Flamengo com Matheus França,,8,0.0,0.0
 memorable moments and much more!,,5,0.0,0.0
 mãe,,6,0.0,0.0
 música,,67,0.0,0.0
 não toca-me,,6,0.0,0.0
 o Hashira da Névoa,,10,0.0,0.0
 o guitarrista Marcos Kleine e o baterista Bacalhau.,,7,0.0,0.0
 o reality pioneiro de empreendedorismo no país,,15,0.0,0.0
 onde vemos muitos personagens como o batman,,7,0.0,0.0
 os amigos nascidos na pequena Claraval (MG) já formavam dupla mesmo antes dos palcos,,12,0.0,0.0
 places,,26,0.0,0.0
 platina e platina dupla. Alguns de seus sucessos fizeram parte da trilha sonora das novelas Laços de Família (“Peão Apaixonado”,,12,0.0,0.0
 porque tá me escutando agora?Sua linda tão louca,,9,0.0,0.0
 qualquer coisa nesse mundo Fecho o olho e lembro dentro do carro eu vendo Apaixonada,,9,0.0,0.0
 que havia completado 71 anos há três dias,,4,0.0,0.0
 que há três décadas,,9,0.0,0.0
 rebolandoNo galope do papai ,,5,0.0,0.0
 rogerio ceni,,6,0.0,0.0
 roupas íntimas masculinas ou um aplicativo focado no mundo das apostas hípicas.,,7,0.0,0.0
" saudade da gota 'to do meu cavaloDo cheiro do gadoE do meu avôE do pezinho de serra onde fui criadoE do cantar do galo que sempre me acordouEu vou votar pra meu sertãoPra onde eu me crieiVou deixar essa cidadeAqui não me acostumeiEu voltar pra meu sertãoPra onde eu me crieiAbre a porteira vovóE avisa que eu volteiEu vou votar pra meu sertãoPra onde eu me crieiVou deixar essa cidadeAqui não me acostumeiEu voltar pra meu sertãoPra onde eu me crieiAbre a porteira vovóE avisa que eu volteiSiga Mano Walter nas redes sociais!Facebook: https://www.facebook.com/ManoWalterOficial/Instagram: https://www.instagram.com/mano_walter/Twitter: https://twitter.com/mano_walter""",,8,0.0,0.0
 say my name no controle você sabe quemDe moto na Brasil fazendo o gameFazendo merda aqui ouvindo KayneUm maço de cigarro eu vou pra júpiter DayanneO Rio de janeiro não é MiamiA vida não tá fácil né Raiane,,7,0.0,0.0
 se tornou a opção da família brasileira.,,67,0.0,0.0
 sem dorSua máquina de prazer,,8,0.0,0.0
 senta sorrindoMe ama mentindo que eu to curtindoQue trabalho lindo,,6,0.0,0.0
 sou excelênciaSabe que se não me der assistênciaVocê tá abrindo pra concorrênciaEu sempre consigo tudo que eu queroAntes da vírgula,,6,0.0,0.0
 spurs conversations and unites us all through her revolutionary work. Subscribe for the latest videos,,20,0.0,0.0
 também falamos de assuntos relacionados a sexo,,169,0.0,0.0
 também falamos sobre filmes,,62,0.0,0.0
 te amo minha pequena Dar mais uma chance aí que eu faço valer a pena,,8,0.0,0.0
 tenho a alegria de saber que Deus me confiou mais um talento e não pretendo enterrá-lo. “…buscai,,3,0.0,0.0
 teve de uma forte experiência com Deus que foi fundamental no direcionamento de seu ministério. Hoje,,8,0.0,0.0
 trabalho,,12,0.0,0.0
 travel,,10,0.0,0.0
 trazendo sempre velocidade,,43,0.0,0.0
 uma vez por mês. Propaganda além do Stories do Instagram. Clube Vip Gold de ,,56,0.0,0.0
 você deve ter no mínimo 13 anos de idade para poder jogar e baixar o Clash Royale. Uma conexão de rede também é necessária para jogar.,,20,0.0,0.0
 we ok PreSometimes it works out but sometimes it don’tMaybe we’ll fix this or maybe we won’t Sometimes a heart can sink like a stone Until you find home  ChorusThis ain’t a heartbreak anthem,,4,0.0,0.0
 with Dave Franco,,26,0.0,0.0
#Refúgio Mental,Entertainment,17,1337749.6470588236,0.016864841181302756
(G)I-DLE (여자)아이들 (Official YouTube Channel),Music,187,12375088.604278075,0.03257607504655262
+Igu,Gaming,7,132883.7142857143,0.022388438046320545
01 DO FUNK,Music,8,196919.875,0.0026023366106971402
1001 DO HEXA,Entertainment,16,867224.125,0.006708671078112388
1001 FUTEBOL,Sports,12,1199316.75,0.010719610132830534
10ocupados,Comedy,24,170899.04166666666,0.07378530296729101
123 GO! CHALLENGE Portuguese,Howto & Style,9,3358759.6666666665,0.006481961665153867
123 Japonês,Education,6,95303.0,0.06038984156592697
1Kilo Oficial,Music,10,210309.3,0.049773544719001514
1MILLION Dance Studio,Entertainment,12,2186951.0833333335,0.0413958151376341
1a série EM - CMSP,Education,24,82022.25,0.02452287288305254
1theK (원더케이),Entertainment,52,10200065.653846154,0.0604802865622561
1theK (원더케이),Music,7,5523146.142857143,0.0063740593442290746
